たけくらべ	名詞	普通名詞	一般	*	*	*	タケクラベ	丈比べ	たけくらべ	タケクラベ	タケクラベ	和	たけくらべ	タケクラベ	タケクラベ	タケクラベ	*	*	*	*	*	*	3	C1	*
ぞ	助詞	係助詞	*	*	*	*	ゾ	ぞ	ぞ	ゾ	ゾ	和	ぞ	ゾ	ゾ	ゾ	*	*	*	*	*	*	*	名詞%F1	*
と	助詞	格助詞	*	*	*	*	ト	と	と	ト	ト	和	と	ト	ト	ト	*	*	*	*	*	*	*	"名詞%F1	動詞%F1	形容詞%F2@-1"	*
見ゆる	動詞	一般	*	*	文語下二段-ヤ行	連体形-一般	ミエル	見える	見ゆる	ミユル	ミユル	和	見ゆ	ミユ	ミユ	ミユ	*	*	*	*	*	*	1	C1	*
大厦	名詞	普通名詞	一般	*	*	*	タイカ	大廈	大厦	タイカ	タイカ	漢	大厦	タイカ	タイカ	タイカ	*	*	*	*	*	*	1	C1	*
も	助詞	係助詞	*	*	*	*	モ	も	も	モ	モ	和	も	モ	モ	モ	*	*	*	*	*	*	*	"動詞%F2@-1	形容詞%F4@-2	名詞%F1"	*
なく	形容詞	非自立可能	*	*	文語形容詞-ク	連用形-一般	ナイ	無い	なく	ナク	ナク	和	なし	ナシ	ナシ	ナシ	*	*	*	*	*	*	1	C3	*
、	補助記号	読点	*	*	*	*		、	、			記号	、				*	*	*	*	*	*	*	*	*
かたぶく	動詞	一般	*	*	文語四段-カ行	連体形-一般	カタムク	傾く	かたぶく	カタブク	カタブク	和	かたぶく	カタブク	カタブク	カタブク	*	*	*	*	*	*	3	C1	*
軒端	名詞	普通名詞	一般	*	*	*	ノキバ	軒端	軒端	ノキバ	ノキバ	和	軒端	ノキバ	ノキバ	ノキバ	*	*	*	*	*	*	0	C2	*
の	助詞	格助詞	*	*	*	*	ノ	の	の	ノ	ノ	和	の	ノ	ノ	ノ	*	*	*	*	*	*	*	名詞%F1	*
十	名詞	数詞	*	*	*	*	ジュウ	十	十	ジュー	ジュウ	漢	十	ジュー	ジュウ	ジュウ	*	*	Nj	十促	基本形	*	1	C3	*
軒	接尾辞	名詞的	一般	*	*	*	ケン	軒	軒	ケン	ケン	漢	軒	ケン	ケン	ケン	ケ濁	基本形	*	*	*	*	*	C3	*
長屋	名詞	普通名詞	一般	*	*	*	ナガヤ	長屋	長屋	ナガヤ	ナガヤ	和	長屋	ナガヤ	ナガヤ	ナガヤ	*	*	*	*	*	*	0	C2	*
二十	名詞	数詞	*	*	*	*	ニジュウ	二十	二十	ニジュー	ニジュウ	漢	二十	ニジュー	ニジュウ	ニジュウ	*	*	Nj	十促	基本形	*	1	C1	*
軒	接尾辞	名詞的	一般	*	*	*	ケン	軒	軒	ケン	ケン	漢	軒	ケン	ケン	ケン	ケ濁	基本形	*	*	*	*	*	C3	*
長	接尾辞	名詞的	一般	*	*	*	チョウ	長	長	チョー	チョウ	漢	長	チョー	チョウ	チョウ	*	*	*	*	*	*	*	C3	*
や	助詞	係助詞	*	*	*	*	ヤ	や	や	ヤ	ヤ	和	や	ヤ	ヤ	ヤ	*	*	*	*	*	*	*	*	*
、	補助記号	読点	*	*	*	*		、	、			記号	、				*	*	*	*	*	*	*	*	*
商ひ	名詞	普通名詞	一般	*	*	*	アキナイ	商い	商ひ	アキナイ	アキナヒ	和	商ひ	アキナイ	アキナヒ	アキナイ	*	*	*	*	*	*	"2	3"	C1	*
は	助詞	係助詞	*	*	*	*	ハ	は	は	ワ	ハ	和	は	ワ	ハ	ハ	*	*	*	*	*	*	*	"動詞%F2@0	名詞%F1	形容詞%F2@-1"	*
かつふつ	副詞	*	*	*	*	*	カツフツ	かつふつ	かつふつ	カツフツ	カツフツ	和	かつふつ	カツフツ	カツフツ	カツフツ	*	*	*	*	*	*	1	*	*
利か	動詞	一般	*	*	文語四段-カ行	未然形-一般	キク	利く	利か	キカ	キカ	和	利く	キク	キク	キク	*	*	*	*	*	*	0	C4	*
ぬ	助動詞	*	*	*	文語助動詞-ズ	連体形-一般	ズ	ず	ぬ	ヌ	ヌ	和	ず	ズ	ズ	ズ	*	*	*	*	*	*	*	"形容詞%F4@-1	動詞%F3@0"	*
処	名詞	普通名詞	副詞可能	*	*	*	トコロ	所	処	トコロ	トコロ	和	処	トコロ	トコロ	トコロ	ト濁	基本形	*	*	*	B1WS2WB3WB4WBjS	"3	0"	C2	*
と	助詞	格助詞	*	*	*	*	ト	と	と	ト	ト	和	と	ト	ト	ト	*	*	*	*	*	*	*	"名詞%F1	動詞%F1	形容詞%F2@-1"	*
て	助詞	接続助詞	*	*	*	*	テ	て	て	テ	テ	和	て	テ	テ	テ	*	*	*	*	*	*	*	"動詞%F1	形容詞%F2@-1"	*
半	名詞	普通名詞	副詞可能	*	*	*	ナカバ	半ば	半	ナカバ	ナカバ	和	半	ナカバ	ナカバ	ナカバ	*	*	*	*	*	*	"3	2	0"	C2	*
さしたる	連体詞	*	*	*	*	*	サシタル	然したる	さしたる	サシタル	サシタル	和	さしたる	サシタル	サシタル	サシタル	*	*	*	*	*	*	"1	0"	*	*
雨戸	名詞	普通名詞	一般	*	*	*	アマド	雨戸	雨戸	アマド	アマド	和	雨戸	アマド	アマド	アマド	*	*	*	*	*	*	2	C1	*
の	助詞	格助詞	*	*	*	*	ノ	の	の	ノ	ノ	和	の	ノ	ノ	ノ	*	*	*	*	*	*	*	名詞%F1	*
外	名詞	普通名詞	副詞可能	*	*	*	ホカ	他	外	ホカ	ホカ	和	外	ホカ	ホカ	ホカ	*	*	*	*	*	*	0	C3	*
に	助詞	格助詞	*	*	*	*	ニ	に	に	ニ	ニ	和	に	ニ	ニ	ニ	*	*	*	*	*	*	*	名詞%F1	*
、	補助記号	読点	*	*	*	*		、	、			記号	、				*	*	*	*	*	*	*	*	*
あやしき	形容詞	一般	*	*	文語形容詞-シク	連体形-一般	アヤシイ	怪しい	あやしき	アヤシキ	アヤシキ	和	あやし	アヤシ	アヤシ	アヤシ	*	*	*	*	*	*	1	C1	*
形	名詞	普通名詞	一般	*	*	*	カタチ	形	形	カタチ	カタチ	和	形	カタチ	カタチ	カタチ	カ濁	基本形	*	*	*	*	0	C2	*
に	助詞	格助詞	*	*	*	*	ニ	に	に	ニ	ニ	和	に	ニ	ニ	ニ	*	*	*	*	*	*	*	名詞%F1	*
紙	名詞	普通名詞	一般	*	*	*	カミ	紙	紙	カミ	カミ	和	紙	カミ	カミ	カミ	カ濁	基本形	*	*	*	*	2	C3	*
を	助詞	格助詞	*	*	*	*	ヲ	を	を	オ	ヲ	和	を	オ	ヲ	ヲ	*	*	*	*	*	*	*	"動詞%F2@0	名詞%F1	形容詞%F2@-1"	*
切りなし	動詞	一般	*	*	文語四段-サ行	連用形-一般	キリナス	切り成す	切りなし	キリナシ	キリナシ	和	切りなす	キリナス	キリナス	キリナス	*	*	*	*	*	*	3	C1	*
て	助詞	接続助詞	*	*	*	*	テ	て	て	テ	テ	和	て	テ	テ	テ	*	*	*	*	*	*	*	"動詞%F1	形容詞%F2@-1"	*
、	補助記号	読点	*	*	*	*		、	、			記号	、				*	*	*	*	*	*	*	*	*
胡粉	名詞	普通名詞	一般	*	*	*	ゴフン	胡粉	胡粉	ゴフン	ゴフン	漢	胡粉	ゴフン	ゴフン	ゴフン	*	*	*	*	*	*	0	C2	*
ぬりくり	動詞	一般	*	*	文語四段-ラ行	連用形-一般	ヌリクル	塗りくる	ぬりくり	ヌリクリ	ヌリクリ	和	ぬりくる	ヌリクル	ヌリクル	ヌリクル	*	*	*	*	*	*	3	C1	*
彩色	名詞	普通名詞	サ変可能	*	*	*	サイシキ	彩色	彩色	サイシキ	サイシキ	漢	彩色	サイシキ	サイシキ	サイシキ	*	*	*	*	*	*	0	C2	*
の	助詞	格助詞	*	*	*	*	ノ	の	の	ノ	ノ	和	の	ノ	ノ	ノ	*	*	*	*	*	*	*	名詞%F1	*
ある	動詞	非自立可能	*	*	文語ラ行変格	連体形-一般	アル	有る	ある	アル	アル	和	あり	アリ	アリ	アリ	*	*	*	*	*	*	1	C3	*
田楽	名詞	普通名詞	一般	*	*	*	デンガク	田楽	田楽	デンガク	デンガク	漢	田楽	デンガク	デンガク	デンガク	*	*	*	*	*	*	"0	1	3"	C2	*
みる	名詞	固有名詞	人名	一般	*	*	ミル	ミル-Mill	みる	ミル	ミル	固	みる	ミル	ミル	ミル	*	*	*	*	*	*	1	*	*
やう	接尾辞	名詞的	一般	*	*	*	ヨウ	様	やう	ヨー	ヤウ	漢	やう	ヨー	ヤウ	ヨウ	*	*	*	*	*	*	*	C4	*
、	補助記号	読点	*	*	*	*		、	、			記号	、				*	*	*	*	*	*	*	*	*
