舞姫	名詞	普通名詞	一般	*	*	*	マイヒメ	舞姫	舞姫	マイヒメ	マイヒメ	和	舞姫	マイヒメ	マイヒメ	マイヒメ	*	*	*	*	*	*	"0	2"	C2	*
望	名詞	普通名詞	一般	*	*	*	ノゾミ	望み	望	ノゾミ	ノゾミ	和	望	ノゾミ	ノゾミ	ノゾミ	*	*	*	*	*	*	"0	3"	C2	*
足り	動詞	一般	*	*	文語四段-ラ行	連用形-一般	タル	足る	足り	タリ	タリ	和	足る	タル	タル	タル	タ濁	基本形	*	*	*	*	0	C4	*
て	助詞	接続助詞	*	*	*	*	テ	て	て	テ	テ	和	て	テ	テ	テ	*	*	*	*	*	*	*	"動詞%F1	形容詞%F2@-1"	*
、	補助記号	読点	*	*	*	*		、	、			記号	、				*	*	*	*	*	*	*	*	*
洋行	名詞	普通名詞	サ変可能	*	*	*	ヨウコウ	洋行	洋行	ヨーコー	ヨウコウ	漢	洋行	ヨーコー	ヨウコウ	ヨウコウ	*	*	*	*	*	*	0	C2	*
の	助詞	格助詞	*	*	*	*	ノ	の	の	ノ	ノ	和	の	ノ	ノ	ノ	*	*	*	*	*	*	*	名詞%F1	*
官命	名詞	普通名詞	一般	*	*	*	カンメイ	官命	官命	カンメー	カンメイ	漢	官命	カンメー	カンメイ	カンメイ	*	*	*	*	*	*	0	C2	*
を	助詞	格助詞	*	*	*	*	ヲ	を	を	オ	ヲ	和	を	オ	ヲ	ヲ	*	*	*	*	*	*	*	"動詞%F2@0	名詞%F1	形容詞%F2@-1"	*
蒙り	動詞	一般	*	*	文語四段-ラ行	連用形-一般	コウムル	被る	蒙り	コームリ	コウムリ	和	蒙る	コームル	コウムル	コウムル	*	*	*	*	*	*	3	C1	*
、	補助記号	読点	*	*	*	*		、	、			記号	、				*	*	*	*	*	*	*	*	*
この	連体詞	*	*	*	*	*	コノ	此の	この	コノ	コノ	和	この	コノ	コノ	コノ	*	*	*	*	*	*	0	*	*
セイゴン	名詞	固有名詞	地名	一般	*	*	サイゴン	サイゴン-Saigon	セイゴン	セーゴン	セイゴン	固	セイゴン	セーゴン	セイゴン	セイゴン	*	*	*	*	*	*	1	*	*
の	助詞	格助詞	*	*	*	*	ノ	の	の	ノ	ノ	和	の	ノ	ノ	ノ	*	*	*	*	*	*	*	名詞%F1	*
港	名詞	普通名詞	一般	*	*	*	ミナト	港	港	ミナト	ミナト	和	港	ミナト	ミナト	ミナト	*	*	*	*	*	*	0	C2	*
まで	助詞	副助詞	*	*	*	*	マデ	まで	まで	マデ	マデ	和	まで	マデ	マデ	マデ	*	*	*	*	*	*	*	"名詞%F2@1	形容詞%F2@1	動詞%F2@1"	*
來	動詞	非自立可能	*	*	文語カ行変格	未然形-一般	クル	来る	來	コ	コ	和	來	ク	ク	ク	*	*	*	*	*	*	1	C3	*
し	助動詞	*	*	*	文語助動詞-キ	連体形-一般	キ	き	し	シ	シ	和	き	キ	キ	キ	*	*	*	*	*	*	*	動詞%F4@0	*
頃	名詞	普通名詞	副詞可能	*	*	*	コロ	頃	頃	コロ	コロ	和	頃	コロ	コロ	コロ	コ濁	基本形	*	*	*	*	1	C3	*
は	助詞	係助詞	*	*	*	*	ハ	は	は	ワ	ハ	和	は	ワ	ハ	ハ	*	*	*	*	*	*	*	"動詞%F2@0	名詞%F1	形容詞%F2@-1"	*
、	補助記号	読点	*	*	*	*		、	、			記号	、				*	*	*	*	*	*	*	*	*
目	名詞	普通名詞	一般	*	*	*	メ	目	目	メ	メ	和	目	メ	メ	メ	*	*	*	*	*	*	1	C3	*
に	助詞	格助詞	*	*	*	*	ニ	に	に	ニ	ニ	和	に	ニ	ニ	ニ	*	*	*	*	*	*	*	名詞%F1	*
見る	動詞	非自立可能	*	*	文語上一段-マ行	連体形-一般	ミル	見る	見る	ミル	ミル	和	見る	ミル	ミル	ミル	*	*	*	*	*	*	1	C1	*
もの	名詞	普通名詞	サ変可能	*	*	*	モノ	物	もの	モノ	モノ	和	もの	モノ	モノ	モノ	*	*	*	*	*	*	"2	0"	C4	*
、	補助記号	読点	*	*	*	*		、	、			記号	、				*	*	*	*	*	*	*	*	*
耳	名詞	普通名詞	一般	*	*	*	ミミ	耳	耳	ミミ	ミミ	和	耳	ミミ	ミミ	ミミ	*	*	*	*	*	*	2	C3	*
に	助詞	格助詞	*	*	*	*	ニ	に	に	ニ	ニ	和	に	ニ	ニ	ニ	*	*	*	*	*	*	*	名詞%F1	*
聞く	動詞	一般	*	*	文語四段-カ行	連体形-一般	キク	聞く	聞く	キク	キク	和	聞く	キク	キク	キク	キ濁	基本形	*	*	*	*	0	C2	*
もの	名詞	普通名詞	一般	*	*	*	モノ	者	もの	モノ	モノ	和	もの	モノ	モノ	モノ	*	*	*	*	*	*	2	C4	*
、	補助記号	読点	*	*	*	*		、	、			記号	、				*	*	*	*	*	*	*	*	*
一	名詞	数詞	*	*	*	*	ヒト	一	一	ヒト	ヒト	和	一	ヒト	ヒト	ヒト	ヒ濁	基本形	N1	*	*	*	2	C3	*
つ	接尾辞	名詞的	助数詞	*	*	*	ツ	つ	つ	ツ	ツ	和	つ	ツ	ツ	ツ	*	*	*	*	*	B1WS2WB3D4D5WB6D7WB8D9WB	*	C3	*
と	助詞	格助詞	*	*	*	*	ト	と	と	ト	ト	和	と	ト	ト	ト	*	*	*	*	*	*	*	"名詞%F1	動詞%F1	形容詞%F2@-1"	*
し	動詞	非自立可能	*	*	文語サ行変格	連用形-一般	スル	為る	し	シ	シ	和	す	ス	ス	ス	*	*	*	*	*	*	1	C4	*
て	助詞	接続助詞	*	*	*	*	テ	て	て	テ	テ	和	て	テ	テ	テ	*	*	*	*	*	*	*	"動詞%F1	形容詞%F2@-1"	*
新	形状詞	一般	*	*	*	*	アラタ	新た	新	アラタ	アラタ	和	新	アラタ	アラタ	アラタ	*	*	*	*	*	*	1	C1	*
なら	助動詞	*	*	*	文語助動詞-ナリ-断定	未然形-一般	ナリ	なり-断定	なら	ナラ	ナラ	和	なり	ナリ	ナリ	ナリ	*	*	*	*	*	*	*	"名詞%F2@1	形容詞%F2@-1動詞%F2@0"	*
ぬ	助動詞	*	*	*	文語助動詞-ズ	連体形-一般	ズ	ず	ぬ	ヌ	ヌ	和	ず	ズ	ズ	ズ	*	*	*	*	*	*	*	"形容詞%F4@-1	動詞%F3@0"	*
は	助詞	係助詞	*	*	*	*	ハ	は	は	ワ	ハ	和	は	ワ	ハ	ハ	*	*	*	*	*	*	*	"動詞%F2@0	名詞%F1	形容詞%F2@-1"	*
なく	形容詞	非自立可能	*	*	文語形容詞-ク	連用形-一般	ナイ	無い	なく	ナク	ナク	和	なし	ナシ	ナシ	ナシ	*	*	*	*	*	*	1	C3	*
、	補助記号	読点	*	*	*	*		、	、			記号	、				*	*	*	*	*	*	*	*	*
筆	名詞	普通名詞	一般	*	*	*	フデ	筆	筆	フデ	フデ	和	筆	フデ	フデ	フデ	*	*	*	*	*	*	0	C3	*
に	助詞	格助詞	*	*	*	*	ニ	に	に	ニ	ニ	和	に	ニ	ニ	ニ	*	*	*	*	*	*	*	名詞%F1	*
任せ	動詞	一般	*	*	文語下二段-サ行	連用形-一般	マカセル	任せる	任せ	マカセ	マカセ	和	任す	マカス	マカス	マカス	*	*	*	*	*	*	2	C1	*
て	助詞	接続助詞	*	*	*	*	テ	て	て	テ	テ	和	て	テ	テ	テ	*	*	*	*	*	*	*	"動詞%F1	形容詞%F2@-1"	*
書き記し	動詞	一般	*	*	文語四段-サ行	連用形-一般	カキシルス	書き記す	書き記し	カキシルシ	カキシルシ	和	書き記す	カキシルス	カキシルス	カキシルス	*	*	*	*	*	*	"4	0"	C1	*
つる	助動詞	*	*	*	文語助動詞-ツ	連体形-一般	ツ	つ	つる	ツル	ツル	和	つ	ツ	ツ	ツ	*	*	*	*	*	*	*	動詞%F4@0	*
紀行	名詞	普通名詞	一般	*	*	*	キコウ	紀行	紀行	キコー	キコウ	漢	紀行	キコー	キコウ	キコウ	*	*	*	*	*	*	0	C2	*
文	名詞	普通名詞	一般	*	*	*	ブン	文	文	ブン	ブン	漢	文	ブン	ブン	ブン	*	*	*	*	*	B	1	C3	*
日	名詞	普通名詞	副詞可能	*	*	*	ヒ	日	日	ヒ	ヒ	和	日	ヒ	ヒ	ヒ	ヒ混合	基本形	*	*	*	*	"0	1"	C3	*
ごと	接尾辞	名詞的	一般	*	*	*	ゴト	毎	ごと	ゴト	ゴト	和	ごと	ゴト	ゴト	ゴト	*	*	*	*	*	*	*	C1	*
