二百	名詞	数詞	*	*	*	*	ニヒャク	二百	二百	ニヒャク	ニヒャク	漢	二百	ニヒャク	ニヒャク	ニヒャク	*	*	Nh	ク促	基本形	*	3	C2	*
敷き詰め	動詞	一般	*	*	文語下二段-マ行	連用形-一般	シキツメル	敷き詰める	敷き詰め	シキツメ	シキツメ	和	敷き詰む	シキツム	シキツム	シキツム	*	*	*	*	*	*	3	C1	*
て	助詞	接続助詞	*	*	*	*	テ	て	て	テ	テ	和	て	テ	テ	テ	*	*	*	*	*	*	*	"動詞%F1	形容詞%F2@-1"	*
あっ	動詞	非自立可能	*	*	五段-ラ行	連用形-促音便	アル	有る	あっ	アッ	アッ	和	ある	アル	アル	アル	*	*	*	*	*	*	1	C3	*
た	助動詞	*	*	*	助動詞-タ	終止形-一般	タ	た	た	タ	タ	和	た	タ	タ	タ	*	*	*	*	*	*	*	"動詞%F2@1	形容詞%F4@-2"	*
。	補助記号	句点	*	*	*	*		。	。			記号	。				*	*	*	*	*	*	*	*	*
非常	形状詞	一般	*	*	*	*	ヒジョウ	非常	非常	ヒジョー	ヒジョウ	漢	非常	ヒジョー	ヒジョウ	ヒジョウ	*	*	*	*	*	*	0	C2	*
に	助動詞	*	*	*	文語助動詞-ナリ-断定	連用形-ニ	ナリ	なり-断定	に	ニ	ニ	和	なり	ナリ	ナリ	ナリ	*	*	*	*	*	*	*	"名詞%F2@1	形容詞%F2@-1動詞%F2@0"	*
細長い	形容詞	一般	*	*	形容詞	連体形-一般	ホソナガイ	細長い	細長い	ホソナガイ	ホソナガイ	和	細長い	ホソナガイ	ホソナガイ	ホソナガイ	*	*	*	*	*	*	"4	0"	C1	*
寺	名詞	普通名詞	一般	*	*	*	テラ	寺	寺	デラ	デラ	和	寺	デラ	デラ	テラ	テ濁	濁音形	*	*	*	*	"2	0"	C4	*
だっ	助動詞	*	*	*	助動詞-ダ	連用形-促音便	ダ	だ	だっ	ダッ	ダッ	和	だ	ダ	ダ	ダ	*	*	*	*	*	*	*	名詞%F1	M2@1
