文づかひ	名詞	普通名詞	一般	*	*	*	フミヅカイ	文使い	文づかひ	フミズカイ	フミヅカヒ	和	文づかひ	フミズカイ	フミヅカヒ	フミヅカイ	*	*	*	*	*	*	3	C1	*
待兼	名詞	固有名詞	地名	一般	*	*	マチカネ	マチカネ	待兼	マチカネ	マチカネ	固	待兼	マチカネ	マチカネ	マチカネ	*	*	*	*	*	*	0	*	*
《	補助記号	括弧開	*	*	*	*		《	《			記号	《				*	*	*	*	*	*	*	*	*
まち	名詞	普通名詞	一般	*	*	*	マチ	町	まち	マチ	マチ	和	まち	マチ	マチ	マチ	*	*	*	*	*	*	2	C3	*
か	助詞	係助詞	*	*	*	*	カ	か	か	カ	カ	和	か	カ	カ	カ	*	*	*	*	*	*	*	"動詞%F2@0	形容詞%F2@-1	名詞%F1"	*
》	補助記号	括弧閉	*	*	*	*		》	》			記号	》				*	*	*	*	*	*	*	*	*
ね	助動詞	*	*	*	文語助動詞-ズ	已然形-一般	ズ	ず	ね	ネ	ネ	和	ず	ズ	ズ	ズ	*	*	*	*	*	*	*	"形容詞%F4@-1	動詞%F3@0"	*
て	助詞	接続助詞	*	*	*	*	テ	て	て	テ	テ	和	て	テ	テ	テ	*	*	*	*	*	*	*	"動詞%F1	形容詞%F2@-1"	*
おはすれ	動詞	非自立可能	*	*	文語サ行変格	已然形-一般	オワス	おわす	おはすれ	オワスレ	オハスレ	和	おはす	オワス	オハス	オワス	*	*	*	*	*	*	2	C2	*
ば	助詞	接続助詞	*	*	*	*	バ	ば	ば	バ	バ	和	ば	バ	バ	バ	*	*	*	*	*	*	*	"動詞%F2@0	形容詞%F2@-1"	*
と	助詞	格助詞	*	*	*	*	ト	と	と	ト	ト	和	と	ト	ト	ト	*	*	*	*	*	*	*	"名詞%F1	動詞%F1	形容詞%F2@-1"	*
促さ	動詞	一般	*	*	文語四段-サ行	未然形-一般	ウナガス	促す	促さ	ウナガサ	ウナガサ	和	促す	ウナガス	ウナガス	ウナガス	*	*	*	*	*	*	"0	3"	C2	*
れ	助動詞	*	*	*	文語下二段-ラ行	連用形-一般	レル	れる	れ	レ	レ	和	る	ル	ル	ル	*	*	*	*	*	*	*	動詞%F3@0	*
